slice,dice_Background,dice_SRF,voxels_Background,voxels_SRF,union_Background,union_SRF,intersection_Background,intersection_SRF,binary_dice
Cirrus_TRAIN004_051.tiff,0.9987243413925171,0.8611591458320618,251647,2305,503280,4624,251319,1991,0.8611591458320618
Cirrus_TRAIN004_052.tiff,0.9984006285667419,0.824504017829895,251702,2250,503317,4587,251256,1891,0.824504017829895
Cirrus_TRAIN004_053.tiff,0.9980806708335876,0.7626993656158447,252233,1719,503829,4075,251431,1554,0.7626993656158447
Cirrus_TRAIN004_054.tiff,0.9984481334686279,0.831717312335968,251671,2281,503263,4641,251241,1930,0.831717312335968
Cirrus_TRAIN004_055.tiff,0.998550295829773,0.8326455950737,251918,2034,503542,4362,251406,1816,0.8326455950737
Cirrus_TRAIN004_056.tiff,0.9985542297363281,0.8334096074104309,251917,2035,503534,4370,251403,1821,0.8334096074104309
Cirrus_TRAIN004_057.tiff,0.998197615146637,0.7797185778617859,251726,2226,503782,4122,251437,1607,0.7797185778617859
Cirrus_TRAIN004_058.tiff,0.99903804063797,0.8985750079154968,251624,2328,503132,4772,251324,2144,0.8985750079154968
Cirrus_TRAIN004_059.tiff,0.998749315738678,0.8489208817481995,252024,1928,503734,4170,251552,1770,0.8489208817481995
Cirrus_TRAIN004_060.tiff,0.998272180557251,0.8014605045318604,251608,2344,503522,4382,251326,1756,0.8014605045318604
Cirrus_TRAIN004_061.tiff,0.9983577728271484,0.7763370871543884,252055,1897,504202,3702,251687,1437,0.7763370871543884
Cirrus_TRAIN004_062.tiff,0.9990172386169434,0.8827292323112488,251949,2003,503683,4221,251594,1863,0.8827292323112488
Cirrus_TRAIN004_063.tiff,0.9986420273780823,0.8033304810523987,251932,2020,504421,3483,251868,1399,0.8033304810523987
Cirrus_TRAIN004_064.tiff,0.9985123872756958,0.7992505431175232,252079,1873,504168,3736,251709,1493,0.7992505431175232
Cirrus_TRAIN004_065.tiff,0.9986199140548706,0.8390831351280212,251854,2098,503585,4319,251445,1812,0.8390831351280212
Cirrus_TRAIN004_066.tiff,0.9992202520370483,0.8988937735557556,251915,2037,504017,3887,251812,1747,0.8988937735557556
Cirrus_TRAIN004_067.tiff,0.9984365105628967,0.8266137838363647,251719,2233,503365,4539,251289,1876,0.8266137838363647
Cirrus_TRAIN004_068.tiff,0.998911440372467,0.8776785731315613,251609,2343,503424,4480,251438,1966,0.8776785731315613
Cirrus_TRAIN004_069.tiff,0.9981324076652527,0.7319294214248657,251892,2060,504390,3514,251724,1286,0.7319294214248657
Cirrus_TRAIN004_070.tiff,0.9988805055618286,0.8621701002120972,251809,2143,503812,4092,251624,1764,0.8621701002120972
Cirrus_TRAIN004_071.tiff,0.997706413269043,0.7779703736305237,251034,2918,502711,5193,250779,2020,0.7779703736305237
Cirrus_TRAIN004_072.tiff,0.9984032511711121,0.7858473062515259,251877,2075,504145,3759,251670,1477,0.7858473062515259
Cirrus_TRAIN004_073.tiff,0.9983997941017151,0.8091856241226196,251884,2068,503680,4224,251437,1709,0.8091856241226196
Cirrus_TRAIN004_074.tiff,0.9981998205184937,0.7769854664802551,251901,2051,503837,4067,251465,1580,0.7769854664802551
Cirrus_TRAIN004_075.tiff,0.9990237951278687,0.9005065560340881,251576,2376,502969,4935,251239,2222,0.9005065560340881
Cirrus_TRAIN004_076.tiff,0.9980030655860901,0.783171534538269,251733,2219,503269,4635,251132,1815,0.783171534538269
Cirrus_TRAIN004_077.tiff,0.9984685182571411,0.8670700192451477,251197,2755,502119,5785,250675,2508,0.8670700192451477
Cirrus_TRAIN004_078.tiff,0.9985883235931396,0.8747571110725403,251135,2817,502243,5661,250767,2476,0.8747571110725403
Cirrus_TRAIN004_079.tiff,0.9983794093132019,0.8371628522872925,251451,2501,502899,5005,251042,2095,0.8371628522872925
Cirrus_TRAIN004_080.tiff,0.9974225163459778,0.7930868864059448,250504,3448,501655,6249,250181,2478,0.7930868864059448
Cirrus_TRAIN004_081.tiff,0.9974659085273743,0.8478365540504456,249539,4413,499584,8320,249159,3527,0.8478365540504456
Cirrus_TRAIN004_082.tiff,0.998218297958374,0.8861050605773926,249911,4041,500081,7823,249595,3466,0.8861050605773926
Cirrus_TRAIN004_083.tiff,0.9977329969406128,0.860450804233551,249966,3986,499785,8119,249326,3493,0.860450804233551
Cirrus_TRAIN004_084.tiff,0.9970859885215759,0.849158525466919,248835,5117,498278,9626,248413,4087,0.849158525466919
Cirrus_TRAIN004_085.tiff,0.9968475103378296,0.8635213971138,248060,5892,496437,11467,247436,4951,0.8635213971138
Cirrus_TRAIN004_086.tiff,0.9970273375511169,0.8842949271202087,247545,6407,495182,12722,246855,5625,0.8842949271202087
Cirrus_TRAIN004_087.tiff,0.9961435794830322,0.8657642602920532,246459,7493,493720,14184,245908,6140,0.8657642602920532
Cirrus_TRAIN004_088.tiff,0.9969866871833801,0.9078587293624878,245683,8269,491820,16084,245169,7301,0.9078587293624878
Cirrus_TRAIN004_089.tiff,0.995550811290741,0.860331654548645,245436,8516,492224,15680,245017,6745,0.860331654548645
Cirrus_TRAIN004_090.tiff,0.9966011643409729,0.893255889415741,245645,8307,492231,15673,245279,7000,0.893255889415741
Cirrus_TRAIN004_091.tiff,0.9966550469398499,0.8979212045669556,245562,8390,491789,16115,245072,7235,0.8979212045669556
Cirrus_TRAIN004_092.tiff,0.997581958770752,0.9302216172218323,245171,8781,490893,17011,244853,7912,0.9302216172218323
Cirrus_TRAIN004_093.tiff,0.9968509674072266,0.9138422012329102,244528,9424,489995,17909,244226,8183,0.9138422012329102
Cirrus_TRAIN004_094.tiff,0.9968096017837524,0.9146727919578552,244488,9464,489598,18306,244018,8372,0.9146727919578552
Cirrus_TRAIN004_095.tiff,0.9940754771232605,0.8409975171089172,243602,10350,489659,18245,243379,7672,0.8409975171089172
Cirrus_TRAIN004_096.tiff,0.9950642585754395,0.873153567314148,243711,10241,488881,19023,243234,8305,0.873153567314148
Cirrus_TRAIN004_097.tiff,0.9946134686470032,0.8500198721885681,244068,9884,490295,17609,243827,7484,0.8500198721885681
Cirrus_TRAIN004_098.tiff,0.9959725141525269,0.893568754196167,244003,9949,489385,18519,243707,8274,0.893568754196167
Cirrus_TRAIN004_099.tiff,0.9961743950843811,0.8992031216621399,243951,10001,489332,18572,243730,8350,0.8992031216621399
Cirrus_TRAIN004_100.tiff,0.9963946342468262,0.9095206260681152,243465,10487,488441,19463,243340,8851,0.9095206260681152
Cirrus_TRAIN004_101.tiff,0.995791494846344,0.892500638961792,243631,10321,488769,19135,243356,8539,0.892500638961792
Cirrus_TRAIN004_102.tiff,0.9962290525436401,0.9052274227142334,243600,10352,488468,19436,243313,8797,0.9052274227142334
Cirrus_TRAIN004_103.tiff,0.9971337914466858,0.9280205368995667,243805,10147,488454,19450,243527,9025,0.9280205368995667
Cirrus_TRAIN004_104.tiff,0.9944411516189575,0.8392341732978821,244438,9514,490929,16975,244100,7123,0.8392341732978821
Cirrus_TRAIN004_105.tiff,0.9950172305107117,0.871910810470581,243627,10325,488886,19018,243225,8291,0.871910810470581
Cirrus_TRAIN004_106.tiff,0.9960213303565979,0.9006189107894897,243483,10469,488353,19551,243205,8804,0.9006189107894897
Cirrus_TRAIN004_107.tiff,0.997347354888916,0.9368312954902649,243167,10785,487435,20469,243071,9588,0.9368312954902649
Cirrus_TRAIN004_108.tiff,0.9967361688613892,0.9155734181404114,244089,9863,489000,18904,243702,8654,0.9155734181404114
Cirrus_TRAIN004_109.tiff,0.9975633025169373,0.9404099583625793,243472,10480,487951,19953,243381,9382,0.9404099583625793
Cirrus_TRAIN004_110.tiff,0.9897012710571289,0.6984978318214417,243238,10714,491128,16776,243035,5859,0.6984978318214417
Cirrus_TRAIN004_111.tiff,0.9949564337730408,0.8685458302497864,243467,10485,489137,18767,243335,8150,0.8685458302497864
Cirrus_TRAIN004_112.tiff,0.9957036375999451,0.8843193054199219,243937,10015,489716,18188,243806,8042,0.8843193054199219
Cirrus_TRAIN004_113.tiff,0.9952957034111023,0.8730018734931946,243912,10040,489762,18142,243729,7919,0.8730018734931946
Cirrus_TRAIN004_114.tiff,0.9927130937576294,0.7863156199455261,243922,10030,491155,16749,243788,6585,0.7863156199455261
Cirrus_TRAIN004_115.tiff,0.9964973330497742,0.9091295003890991,243767,10185,489053,18851,243670,8569,0.9091295003890991
